순서,구분,한글컬럼명,원본컬럼명
1,번호,배치번호,Batch_ID
2,번호,배치참조번호,Batch ref
3,시간,발효시간(h),Time (h)
4,feature_제어,"제어모드(0:레시피,1:작업자)",0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref)
5,feature_열·pH,발효온도(K),Temperature(T:K)
6,feature_열·pH,냉난방수유량(L/h),Heating/cooling water flow rate(Fc:L/h)
7,feature_열·pH,가열수유량(L/h),Heating water flow rate(Fh:L/h)
8,feature_열·pH,발생열(kJ),Generated heat(Q:kJ)
9,feature_열·pH,pH,pH(pH:pH)
10,feature_열·pH,산투입유량(L/h),Acid flow rate(Fa:L/h)
11,feature_열·pH,염기투입유량(L/h),Base flow rate(Fb:L/h)
12,feature_설비,상부압력(bar),Air head pressure(pressure:bar)
13,feature_설비,발효조부피(L),Vessel Volume(V:L)
14,feature_설비,발효조중량(kg),Vessel Weight(Wt:Kg)
15,feature_설비,교반속도(RPM),Agitator RPM(RPM:RPM)
16,feature_산소·배가스,공기주입유량(L/h),Aeration rate(Fg:L/h)
17,feature_산소·배가스,용존산소(mg/L),Dissolved oxygen concentration(DO2:mg/L)
18,feature_산소·배가스,산소소모율(g/min),Oxygen Uptake Rate(OUR:(g min^{-1}))
19,feature_산소·배가스,배가스산소(%),Oxygen in percent in off-gas(O2:O2  (%))
20,feature_산소·배가스,배가스이산화탄소(%),carbon dioxide percent in off-gas(CO2outgas:%)
21,feature_산소·배가스,이산화탄소발생률(g/h),Carbon evolution rate(CER:g/h)
22,feature_원료·첨가,기질농도(g/L),Substrate concentration(S:g/L)
23,feature_원료·첨가,당공급유량(L/h),Sugar feed rate(Fs:L/h)
24,feature_원료·첨가,희석수유량(L/h),Water for injection/dilution(Fw:L/h)
25,feature_원료·첨가,오일유량(L/h),Oil flow(Foil:L/hr)
26,feature_원료·첨가,PAA투입유량(L/h),PAA flow(Fpaa:PAA flow (L/h))
27,feature_원료·첨가,암모니아투입량(kg),Ammonia shots(NH3_shots:kgs)
28,feature_생산,배양액배출유량(L/h),Dumped broth flow(Fremoved:L/h)
29,feature_생산,페니실린농도(g/L),Penicillin concentration(P:g/L)
30,오프라인,페니실린농도_오프라인(g/L),Offline Penicillin concentration(P_offline:P(g L^{-1}))
31,오프라인,바이오매스농도_오프라인(g/L),Offline Biomass concentratio(X_offline:X(g L^{-1}))
32,오프라인,점도_오프라인(cP),Viscosity(Viscosity_offline:centPoise)
33,오프라인,PAA농도_오프라인(g/L),PAA concentration offline(PAA_offline:PAA (g L^{-1}))
34,오프라인,암모니아농도_오프라인(g/L),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1}))
35,결과,중간수확량(kg),Penicllin_harvested_during_batch(kg)
36,결과,종료수확량(kg),Penicllin_harvested_end_of_batch (kg)
37,결과,총수확량(kg),Penicllin_yield_total (kg)
38,결과,"구간결함(0:정상,1:결함)",Fault reference(Fault_ref:Fault ref)
39,결과,"배치결함(0:정상,1:결함)",Fault ref(0-NoFault 1-Fault)
