원래순서,컬럼명,자료형,전체행수,유효값수,결측수,결측률(%),고유값수,변수구분,제외결정,결정근거
30,페니실린농도_오프라인(g/L),float64,113935,2062,111873,98.19,1919,오프라인,제외,오프라인 변수이며 결측률 95% 이상
31,바이오매스농도_오프라인(g/L),float64,113935,2062,111873,98.19,1934,오프라인,제외,오프라인 변수이며 결측률 95% 이상
32,점도_오프라인(cP),float64,113935,2062,111873,98.19,1976,오프라인,제외,오프라인 변수이며 결측률 95% 이상
33,PAA농도_오프라인(g/L),float64,113935,2062,111873,98.19,1563,오프라인,제외,오프라인 변수이며 결측률 95% 이상
34,암모니아농도_오프라인(g/L),float64,113935,2062,111873,98.19,1759,오프라인,제외,오프라인 변수이며 결측률 95% 이상
1,배치번호,int64,113935,113935,0,0.0,100,일반,유지,오프라인 변수가 아님
2,배치참조번호,int64,113935,113935,0,0.0,100,일반,유지,오프라인 변수가 아님
3,발효시간(h),float64,113935,113935,0,0.0,1450,일반,유지,오프라인 변수가 아님
4,"제어모드(0:레시피,1:작업자)",int64,113935,113935,0,0.0,2,일반,유지,오프라인 변수가 아님
5,발효온도(K),float64,113935,113935,0,0.0,393,일반,유지,오프라인 변수가 아님
6,냉난방수유량(L/h),float64,113935,113935,0,0.0,77380,일반,유지,오프라인 변수가 아님
7,가열수유량(L/h),float64,113935,113935,0,0.0,54534,일반,유지,오프라인 변수가 아님
8,발생열(kJ),float64,113935,113935,0,0.0,51059,일반,유지,오프라인 변수가 아님
9,pH,float64,113935,113935,0,0.0,3990,일반,유지,오프라인 변수가 아님
10,산투입유량(L/h),float64,113935,113935,0,0.0,1353,일반,유지,오프라인 변수가 아님
11,염기투입유량(L/h),float64,113935,113935,0,0.0,67206,일반,유지,오프라인 변수가 아님
12,상부압력(bar),float64,113935,113935,0,0.0,6,일반,유지,오프라인 변수가 아님
13,발효조부피(L),int64,113935,113935,0,0.0,28296,일반,유지,오프라인 변수가 아님
14,발효조중량(kg),float64,113935,113935,0,0.0,31711,일반,유지,오프라인 변수가 아님
15,교반속도(RPM),int64,113935,113935,0,0.0,1,일반,유지,오프라인 변수가 아님
16,공기주입유량(L/h),int64,113935,113935,0,0.0,7,일반,유지,오프라인 변수가 아님
17,용존산소(mg/L),float64,113935,113935,0,0.0,11087,일반,유지,오프라인 변수가 아님
18,산소소모율(g/min),float64,113935,113935,0,0.0,35065,일반,유지,오프라인 변수가 아님
19,배가스산소(%),float64,113935,113935,0,0.0,3095,일반,유지,오프라인 변수가 아님
20,배가스이산화탄소(%),float64,113935,113935,0,0.0,28416,일반,유지,오프라인 변수가 아님
21,이산화탄소발생률(g/h),float64,113935,113935,0,0.0,35059,일반,유지,오프라인 변수가 아님
22,기질농도(g/L),float64,113935,113935,0,0.0,64531,일반,유지,오프라인 변수가 아님
23,당공급유량(L/h),int64,113935,113935,0,0.0,25,일반,유지,오프라인 변수가 아님
24,희석수유량(L/h),int64,113935,113935,0,0.0,6,일반,유지,오프라인 변수가 아님
25,오일유량(L/h),int64,113935,113935,0,0.0,9,일반,유지,오프라인 변수가 아님
26,PAA투입유량(L/h),float64,113935,113935,0,0.0,22931,일반,유지,오프라인 변수가 아님
27,암모니아투입량(kg),int64,113935,113935,0,0.0,1,일반,유지,오프라인 변수가 아님
28,배양액배출유량(L/h),int64,113935,113935,0,0.0,2,일반,유지,오프라인 변수가 아님
29,페니실린농도(g/L),float64,113935,113935,0,0.0,56258,일반,유지,오프라인 변수가 아님
35,중간수확량(kg),float64,113935,113935,0,0.0,100,일반,유지,오프라인 변수가 아님
36,종료수확량(kg),float64,113935,113935,0,0.0,100,일반,유지,오프라인 변수가 아님
37,총수확량(kg),float64,113935,113935,0,0.0,100,일반,유지,오프라인 변수가 아님
38,"구간결함(0:정상,1:결함)",int64,113935,113935,0,0.0,2,일반,유지,오프라인 변수가 아님
39,"배치결함(0:정상,1:결함)",int64,113935,113935,0,0.0,2,일반,유지,오프라인 변수가 아님
