순서,컬럼명,자료형,결측수,결측률(%),고유값수,최소값,최대값,음수개수,0개수
1,배치번호,int64,0,0.0,100,1.0,100.0,0,0
2,배치참조번호,int64,0,0.0,100,1.0,100.0,0,0
3,발효시간(h),float64,0,0.0,1450,0.2,290.0,0,0
4,"제어모드(0:레시피,1:작업자)",int64,0,0.0,2,0.0,1.0,0,79550
5,발효온도(K),float64,0,0.0,393,296.84,302.18,0,0
6,냉난방수유량(L/h),float64,0,0.0,77380,0.0001,1500.0,0,0
7,가열수유량(L/h),float64,0,0.0,54534,0.0001,1500.0,0,0
8,발생열(kJ),float64,0,0.0,51059,1e-06,1712.9,0,0
9,pH,float64,0,0.0,3990,5.3957,6.7664,0,0
10,산투입유량(L/h),float64,0,0.0,1353,0.0,12.996,0,110631
11,염기투입유량(L/h),float64,0,0.0,67206,0.0,225.0,0,2972
12,상부압력(bar),float64,0,0.0,6,0.6,1.1,0,0
13,발효조부피(L),int64,0,0.0,28296,56549.0,95716.0,0,0
14,발효조중량(kg),float64,0,0.0,31711,60395.0,107010.0,0,0
15,교반속도(RPM),int64,0,0.0,1,100.0,100.0,0,0
16,공기주입유량(L/h),int64,0,0.0,7,20.0,75.0,0,0
17,용존산소(mg/L),float64,0,0.0,11087,1.0,16.508,0,0
18,산소소모율(g/min),float64,0,0.0,35065,-1.242,6.7611,1038,0
19,배가스산소(%),float64,0,0.0,3095,0.1295,0.22751,0,0
20,배가스이산화탄소(%),float64,0,0.0,28416,0.075425,7.1214,0,0
21,이산화탄소발생률(g/h),float64,0,0.0,35059,0.028685,2.0488,0,0
22,기질농도(g/L),float64,0,0.0,64531,6.0477e-06,115.27,0,0
23,당공급유량(L/h),int64,0,0.0,25,2.0,150.0,0,0
24,희석수유량(L/h),int64,0,0.0,6,0.0,500.0,0,30490
25,오일유량(L/h),int64,0,0.0,9,22.0,35.0,0,0
26,PAA투입유량(L/h),float64,0,0.0,22931,0.0,15.0,0,14964
27,암모니아투입량(kg),int64,0,0.0,1,0.0,0.0,0,113935
28,배양액배출유량(L/h),int64,0,0.0,2,-4000.0,0.0,6110,107825
29,페니실린농도(g/L),float64,0,0.0,56258,3.6947e-26,36.183,0,0
30,중간수확량(kg),float64,0,0.0,100,388650.0,2089700.0,0,0
31,종료수확량(kg),float64,0,0.0,100,502180.0,2932400.0,0,0
32,총수확량(kg),float64,0,0.0,100,890830.0,4447700.0,0,0
33,"구간결함(0:정상,1:결함)",int64,0,0.0,2,0.0,1.0,0,112679
34,"배치결함(0:정상,1:결함)",int64,0,0.0,2,0.0,1.0,0,102410
