Batch_ID,Strategy,total_yield,duration_h,final_conc,productivity
1,RC,2786400.0,226.0,29.373,12329.20353982301
2,RC,2326000.0,230.0,30.416,10113.04347826087
3,RC,2675300.0,278.0,17.428,9623.381294964029
4,RC,1886700.0,230.0,15.107,8203.04347826087
5,RC,3562900.0,179.0,28.172,19904.469273743016
6,RC,2388700.0,230.0,13.366,10385.652173913044
7,RC,3454600.0,232.0,29.416,14890.51724137931
8,RC,3877400.0,230.0,34.508,16858.260869565216
9,RC,4083100.0,252.0,6.6957,16202.777777777777
10,RC,1982000.0,230.0,15.411,8617.391304347826
11,RC,1965300.0,202.0,33.554,9729.20792079208
12,RC,3970100.0,230.0,30.102,17261.304347826088
13,RC,2266700.0,216.0,31.068,10493.981481481482
14,RC,3585600.0,230.0,28.548,15589.565217391304
15,RC,2852600.0,181.0,27.816,15760.220994475138
16,RC,3579300.0,230.0,32.124,15562.173913043478
17,RC,3851900.0,188.0,26.994,20488.82978723404
18,RC,2013500.0,230.0,10.169,8754.347826086956
19,RC,4010800.0,207.0,19.214,19375.84541062802
20,RC,2233600.0,230.0,29.445,9711.304347826086
21,RC,2568300.0,228.0,22.629,11264.473684210527
22,RC,2777700.0,230.0,32.307,12076.95652173913
23,RC,2855100.0,264.0,35.315,10814.772727272728
24,RC,1958400.0,230.0,16.041,8514.782608695652
25,RC,3716900.0,261.0,12.229,14240.996168582375
26,RC,3886800.0,230.0,30.101,16899.130434782608
27,RC,2176200.0,211.0,27.372,10313.744075829383
28,RC,2709400.0,230.0,18.69,11780.0
29,RC,1842400.0,290.0,36.163,6353.103448275862
30,RC,3538800.0,230.0,9.6836,15386.08695652174
31,OC,1890100.0,250.0,33.551,7560.4
32,OC,4196000.0,230.0,32.517,18243.478260869564
33,OC,3294100.0,260.0,13.186,12669.615384615385
34,OC,2066400.0,230.0,14.005,8984.347826086956
35,OC,3537900.0,196.0,28.302,18050.51020408163
36,OC,1754100.0,230.0,13.717,7626.521739130435
37,OC,2631900.0,210.0,19.78,12532.857142857143
38,OC,2391500.0,230.0,23.756,10397.826086956522
39,OC,2681700.0,235.0,27.977,11411.489361702128
40,OC,2426300.0,230.0,15.947,10549.130434782608
41,OC,2922100.0,243.0,26.746,12025.102880658436
42,OC,2358500.0,230.0,11.542,10254.347826086956
43,OC,2212400.0,231.0,11.991,9577.489177489177
44,OC,1474100.0,230.0,12.672,6409.130434782609
45,OC,2827800.0,262.0,5.8802,10793.129770992366
46,OC,2061500.0,230.0,30.916,8963.04347826087
47,OC,2586400.0,228.0,18.729,11343.859649122807
48,OC,3265000.0,230.0,34.756,14195.652173913044
49,OC,2596900.0,232.0,17.294,11193.534482758621
50,OC,3064900.0,230.0,25.031,13325.652173913044
51,OC,2918500.0,225.0,9.0079,12971.111111111111
52,OC,3757800.0,230.0,22.3,16338.260869565218
53,OC,2857800.0,193.0,30.243,14807.253886010363
54,OC,3183800.0,230.0,18.897,13842.608695652174
55,OC,3784400.0,224.0,27.268,16894.64285714286
56,OC,2722600.0,230.0,25.055,11837.391304347826
57,OC,4059100.0,234.0,32.518,17346.581196581195
58,OC,2757500.0,230.0,25.491,11989.130434782608
59,OC,2910000.0,204.0,17.359,14264.70588235294
60,OC,3802300.0,230.0,18.818,16531.739130434784
61,APC,3062600.0,241.0,27.282,12707.883817427386
62,APC,3723600.0,230.0,32.198,16189.565217391304
63,APC,3991800.0,230.0,28.677,17355.652173913044
64,APC,3361700.0,230.0,30.825,14616.08695652174
65,APC,3785200.0,231.0,32.211,16386.147186147187
66,APC,3842700.0,230.0,26.655,16707.391304347828
67,APC,3413300.0,167.0,21.596,20438.922155688622
68,APC,3572900.0,230.0,29.767,15534.347826086956
69,APC,3751400.0,225.0,27.265,16672.88888888889
70,APC,3307600.0,230.0,28.121,14380.869565217392
71,APC,2830800.0,214.0,33.036,13228.03738317757
72,APC,3277100.0,230.0,31.273,14248.260869565218
73,APC,3548800.0,236.0,26.704,15037.28813559322
74,APC,2981600.0,230.0,33.077,12963.478260869566
75,APC,3099500.0,192.0,26.278,16143.229166666666
76,APC,3415400.0,230.0,30.683,14849.565217391304
77,APC,3812000.0,205.0,28.524,18595.121951219513
78,APC,3588600.0,230.0,28.185,15602.608695652174
79,APC,3825600.0,235.0,31.531,16279.148936170213
80,APC,3566200.0,230.0,30.439,15505.217391304348
81,APC,3186200.0,220.0,33.209,14482.727272727272
82,APC,3608100.0,230.0,30.011,15687.391304347826
83,APC,3837100.0,241.0,27.214,15921.576763485476
84,APC,3488100.0,230.0,28.67,15165.652173913044
85,APC,4044300.0,200.0,31.898,20221.5
86,APC,3320800.0,230.0,30.918,14438.260869565218
87,APC,3470600.0,222.0,31.508,15633.333333333334
88,APC,3059300.0,230.0,28.363,13301.304347826086
89,APC,3291400.0,231.0,24.625,14248.484848484848
90,APC,3464200.0,230.0,31.453,15061.739130434782
91,Fault,2597400.0,258.0,3.1575,10067.441860465116
92,Fault,1752600.0,230.0,16.074,7620.0
93,Fault,4447700.0,210.0,30.822,21179.52380952381
94,Fault,3584100.0,230.0,6.1288,15583.04347826087
95,Fault,1954500.0,211.0,6.0739,9263.033175355451
96,Fault,3595000.0,230.0,21.104,15630.434782608696
97,Fault,3894300.0,225.0,16.958,17308.0
98,Fault,1730600.0,230.0,32.802,7524.347826086957
99,Fault,890830.0,251.0,5.4669,3549.1235059760957
100,Fault,1555000.0,230.0,5.6263,6760.869565217391
